,algoritmo,h,season,identificador.do.pixel,tempo.de.execu√.√.o..segundos.,slope,acerto_ausencia,erro_detec,erro_n_detec,acerto_pastagem_soja,acerto_soja_sojamilho,acerto_soja_seringa,acerto_floresta_pastagem,"dat_mean[, 6]"
15,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_19578,2.01866769790649,-0.000202496475589075,1,0,0,0,0,0,0,2000049
16,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_19613,1.88791346549988,-0.000270179595995391,1,0,0,0,0,0,0,2000049
17,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_22467,1.99833464622498,9.75805290562293e-06,1,0,0,0,0,0,0,2000049
18,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_2271,1.9044075012207,0.000172087931967553,1,0,0,0,0,0,0,2000049
19,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_23302,1.9437427520752,-0.000209951225228624,1,0,0,0,0,0,0,2000049
20,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_27207,1.96240568161011,-0.000189871367283174,1,0,0,0,0,0,0,2000049
21,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_10902,2.66198110580444,0.000842754520016625,1,0,0,0,0,0,0,2000049
22,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_14204,2.7037718296051,-0.000340459782360161,1,0,0,0,0,0,0,2000049
23,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_1686,1.8941445350647,0.000336581241794989,0,2,0,0,0,0,0,2003257;2004049
24,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_17922,1.8943977355957,-5.76100139504029e-06,1,0,0,0,0,0,0,2000049
25,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_19578,2.12510132789612,-0.000202496475589075,1,0,0,0,0,0,0,2000049
26,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_19613,1.94465804100037,-0.000270179595995391,1,0,0,0,0,0,0,2000049
27,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_22467,1.78321838378906,9.75805290562293e-06,1,0,0,0,0,0,0,2000049
28,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_2271,1.64033770561218,0.000172087931967553,1,0,0,0,0,0,0,2000049
29,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_23302,1.75450134277344,-0.000209951225228624,1,0,0,0,0,0,0,2000049
30,bfast_luis_wavelet_java.r,0.0290975765306122,none,floresta_TAN_Pixel_3x3_27207,1.75646829605103,-0.000189871367283174,1,0,0,0,0,0,0,2000049
31,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_10902,1.27949118614197,0.000842754520016625,1,0,0,0,0,0,0,2000049
32,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_14204,1.52886724472046,-0.000340459782360161,1,0,0,0,0,0,0,2000049
33,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_1686,0.734863519668579,0.000239171188764617,0,2,0,0,0,0,0,2002337;2005001
34,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_17922,0.735139608383179,-5.76100139504029e-06,1,0,0,0,0,0,0,2000049
35,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_19578,0.730973958969116,-0.000202496475589075,1,0,0,0,0,0,0,2000049
36,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_19613,0.739416360855103,-0.000270179595995391,1,0,0,0,0,0,0,2000049
37,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_22467,0.708444118499756,9.75805290562293e-06,1,0,0,0,0,0,0,2000049
38,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_2271,0.691959619522095,0.000197076158963749,1,0,0,0,0,0,0,2000049
39,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_23302,0.665104150772095,-0.000209951225228624,1,0,0,0,0,0,0,2000049
40,bfast_luis_wavelet_java.r,0.0581951530612245,harmonic,floresta_TAN_Pixel_3x3_27207,0.693993330001831,-0.000189871367283174,1,0,0,0,0,0,0,2000049
41,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_10902,1.20487499237061,0.000842754520016625,1,0,0,0,0,0,0,2000049
42,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_14204,1.50673031806946,-0.000340459782360161,1,0,0,0,0,0,0,2000049
43,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_1686,0.723445415496826,0.000239171188764617,0,2,0,0,0,0,0,2002337;2005001
44,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_17922,0.697576284408569,-5.76100139504029e-06,1,0,0,0,0,0,0,2000049
45,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_19578,0.703271865844727,-0.000202496475589075,1,0,0,0,0,0,0,2000049
46,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_19613,0.694991827011108,-0.000270179595995391,1,0,0,0,0,0,0,2000049
47,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_22467,0.7064208984375,9.75805290562293e-06,1,0,0,0,0,0,0,2000049
48,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_2271,0.699331760406494,0.000197076158963749,1,0,0,0,0,0,0,2000049
49,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_23302,0.70151424407959,-0.000209951225228624,1,0,0,0,0,0,0,2000049
50,bfast_luis_wavelet_java.r,0.0581951530612245,dummy,floresta_TAN_Pixel_3x3_27207,0.729662179946899,-0.000189871367283174,1,0,0,0,0,0,0,2000049
51,bfast_luis_wavelet_java.r,0.0581951530612245,none,floresta_TAN_Pixel_3x3_10902,1.32919025421143,0.000842754520016625,1,0,0,0,0,0,0,2000049
